web-scraper-order,web-scraper-start-url,huizen,prijzen,adres,vierkante_meter,energielabel,prijs per m2,Wijk code,regio,PrijsRange
1709564893-1,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=1,Kamperfoelieweg 114,550000.0,1032 HS Amsterdam,95.0,C,5789.473684210527,1032,Amsterdam-Noord,€500k - €750k
1709564893-2,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=1,Hoofdweg 827 +PP,745000.0,1055 SC Amsterdam,99.0,A,7525.252525252526,1055,Amsterdam-West,€500k - €750k
1709564893-4,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=1,Rietwijkerstraat 54 II,395000.0,1059 XB Amsterdam,46.0,D,8586.95652173913,1059,Amsterdam-West,€250k - €500k
1709564893-5,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=1,Albert Cuypstraat 94 -I,375000.0,1072 CX Amsterdam,49.0,C,7653.061224489796,1072,Amsterdam-Zuid,€250k - €500k
1709564893-6,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=1,Belgiëplein 30,535000.0,1066 SC Amsterdam,100.0,A,5350.0,1066,Amsterdam Nieuw-West,€500k - €750k
1709564893-8,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=1,Nieuwe Uilenburgerstraat 17 P,450000.0,1011 LM Amsterdam,59.0,B,7627.118644067797,1011,Amsterdam-Centrum: Binnenstad (en delen van West en Westpoort),€250k - €500k
1709564893-9,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=1,Dapperstraat 55 3,325000.0,1093 BP Amsterdam,41.0,B,7926.829268292683,1093,Amsterdam-Oost,€250k - €500k
1709564893-10,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=1,Cornelis Anthoniszstraat 12 3,1100000.0,1071 VT Amsterdam,105.0,A++,10476.190476190477,1071,Amsterdam-Zuid,"€1M - €1,25M"
1709564893-12,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=1,Cornelis Anthoniszstraat 12 2,600000.0,1071 VT Amsterdam,59.0,A+,10169.49152542373,1071,Amsterdam-Zuid,€500k - €750k
1709564893-13,https://www.funda.nl/zoeken/koop?selected_area=%5B%22amsterdam%22%5D&search_result=1,Iepenweg 34,575000.0,1091 JM Amsterdam,89.0,A,6460.6741573033705,1091,Amsterdam-Oost,€500k - €750k
